Name,Aliases,Nationality,Ethnicity,Date of Birth,Career start,Cup,Bra,Bust,Waist,Hip,Weight,Height
Helena Hope,Unknown,American,Caucasian,"November 27, 1991",2022,L,36L,91,81 cm,104 cm,81 kg,170 cm
Jade Skyy,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown
Pamela Morrison,Unknown,Unknown,Caucasian,"January 23, 1997",Unknown,B,32B,81,55 cm,86 cm,44 kg,154 cm
Tacori Blu,"Jade JaDore, Jade J'adore",Unknown,Latin,"January 24, 1973",2003,Unknown,Unknown,Unknown,Unknown,Unknown,64 kg,167 cm
Nagi Tsukino,"Rie Mizumitsu, Nana Shirai, Rei Suimitsu, Rei Minamitsu",Unknown,Asian,"June 30, 2001",2016,F,88F,223,149 cm,226 cm,Unknown,411 cm
Laura Sweet,"Pussy-Babe18, Vlasta, Alexis Leone, Petra, Fabienne",Unknown,Caucasian,"February 28, 1990",2013,C,34C,86,63 cm,93 cm,53 kg,162 cm
Daisy A,Unknown,Unknown,Caucasian,Unknown,2011,B,32B,81,66 cm,86 cm,49 kg,162 cm
Yae Triplex,Unknown,Argentinean,Latin,"June 20, 1991",2019,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,160 cm
Silvia Ruby,Silvia Rubi,Unknown,Caucasian,"March 11, 1987",2006,A,32A,81,58 cm,88 cm,59 kg,172 cm
Dakota Pink,Unknown,Unknown,Caucasian,"January 1, 1999",2018,C,37C,93,68 cm,91 cm,Unknown,167 cm
Alexis Rodriguez,"Alyssa Gadson, Miss Rican",Unknown,Latin,"November 25, 1989",2012,C,34C,86,63 cm,106 cm,54 kg,160 cm
Alexxxis Allure,"Alexa Allur, Alexis Allure, Alexxis Allure",Unknown,Caucasian,"July 26, 1988",Unknown,E,42E,106,101 cm,139 cm,114 kg,157 cm
April Blue,"Fanny Schidt, Little April",Unknown,Caucasian,"September 10, 1991",2009,D,32D,81,60 cm,91 cm,56 kg,165 cm
Kimmy Olsen,Unknown,Unknown,Caucasian,"November 20, 1987",2011,B,34B,86,63 cm,91 cm,49 kg,149 cm
Coralyn Jewel,Nikki Jewel,Unknown,Caucasian,"October 24, 1976",2011,D,36D,91,66 cm,88 cm,49 kg,149 cm
Natasha White,Unknown,Unknown,Caucasian,"July 15, 1994",2013,B,32B,81,66 cm,86 cm,41 kg,152 cm
Lillie Pie,Lil Pie,Unknown,Unknown,"November 28, 1995",Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,53 kg,167 cm
Payton Simmons,Unknown,Unknown,Caucasian,"February 28, 1991",2013,DD,34DD,86,63 cm,76 cm,54 kg,167 cm
Addie Andrews,Unknown,American,Caucasian,"October 1, 1989",2015,D,32D,81,63 cm,91 cm,54 kg,172 cm
Anastasia Knight,Unknown,American,Caucasian,"September 24, 1999",2017,A,34A,86,55 cm,81 cm,48 kg,160 cm
Molly Cavalli,Innocent Eve,Unknown,Caucasian,"November 12, 1981",2007,D,34D,86,63 cm,81 cm,51 kg,160 cm
Marina Maya,Unknown,Unknown,Caucasian,"July 17, 1992",2019,B,30B,76,60 cm,88 cm,54 kg,170 cm
Maya Hills,"Mya Hills, Maia",Unknown,Asian,"August 21, 1987",2006,D,34D,86,66 cm,86 cm,54 kg,167 cm
Honour May,Unknown,Unknown,Caucasian,"September 18, 1995",2015,C,34C,86,63 cm,88 cm,59 kg,170 cm
Marta La Croft,Alexandra Sivroskaya,Unknown,Latin,"March 18, 1990",2007,DDD,34DDD,86,60 cm,91 cm,59 kg,165 cm
Hope Howell,Unknown,Unknown,Caucasian,"April 29, 1991",2011,B,36B,91,66 cm,91 cm,49 kg,162 cm
Calypso Muse,Tatiana Farnese,Unknown,Latin,"January 1, 1991",2018,C,32C,81,66 cm,91 cm,Unknown,162 cm
Melisa Rose,"Melisa Most, Melissa Wenson, Dema",Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown
Tricia Oaks,"Trisha Storm, Trisha Bangs",Unknown,Caucasian,"July 21, 1984",2005,Unknown,Unknown,Unknown,Unknown,Unknown,58 kg,172 cm
Queen Rogue,Unknown,Unknown,Latin,"March 27, 1974",Unknown,DD,34DD,86,66 cm,106 cm,59 kg,162 cm
Kassie Lee,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown
Victoria Rose,"Veronika Rose, Veronica Rose, Victoria Rosse, Lil Sue, Tawnee, Zabine, Victoria Rossi",Unknown,Caucasian,"April 19, 1984",2005,B,38B,96,63 cm,93 cm,51 kg,154 cm
Natasha Rios,Unknown,Brazilian,Latin,"April 15, 1996",2021,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,162 cm
Vile Vixen,Unknown,Unknown,Caucasian,"September 11, 1997",2022,B,32B,81,Unknown,Unknown,Unknown,167 cm
Emily Brix,Unknown,Unknown,Caucasian,"July 16, 1995",2018,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown
Vanessa Lane,Kristen Marie Sturdevant,Unknown,Caucasian,"October 14, 1983",2004,D,36D,91,55 cm,83 cm,43 kg,154 cm
Jesse Jane,Mistress Cindy Taylor,American,Caucasian,"July 16, 1980",2003,D,34D,86,58 cm,76 cm,49 kg,152 cm
Megumi Haruka,"Yuuko Inoue, Saki Suzuki, Miyabi Takahara",Unknown,Asian,"October 5, 1986",2006,F,35F,88,58 cm,86 cm,Unknown,160 cm
Aleksandrina,Aleksandrina Avgeadod,Russian,Caucasian,March 1992,2018,A,15A,38,60 cm,88 cm,58 kg,170 cm
Terry Nova,Busty Terry,Czech,Caucasian,"May 15, 1986",2007,H,36H,91,71 cm,99 cm,61 kg,172 cm
Gabriella Daniels,"Lilly, Gabriela, Gabriela Daniels, Liliya, Gabriela Stevenson, Lilly Spak, Gabriella D, Liliana, Lily, Gabriella Danielsova",Unknown,Caucasian,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,59 kg,172 cm
Riley Mae,Unknown,Unknown,Caucasian,"July 4, 1998",2016,C,34C,86,55 cm,81 cm,51 kg,167 cm
Diana Verhiniz,Kitty Sun,Unknown,Unknown,"October 9, 2000",Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown
Kathy Lee,"KathyLee Bans, Kathy Lee Bans",Colombian,Latin,Unknown,2022,Unknown,Unknown,Unknown,Unknown,Unknown,40 kg,157 cm
Vina Rae,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown
Gracie Bon,Unknown,Panamanian,Latin,"February 4, 1997",Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown
Selena Triss,Unknown,Unknown,Caucasian,"January 1, 2002",2022,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,167 cm
Cristi Ann,Unknown,Unknown,Latin,"April 10, 1992",2015,D,34D,86,68 cm,96 cm,56 kg,154 cm
Lexi Stone,"Angela McLin, Traci Tripod",Unknown,Caucasian,"September 22, 1982",2009,D,32D,81,58 cm,83 cm,49 kg,165 cm
Dolly Fox,Unknown,Unknown,Caucasian,"February 5, 1988",2015,I,34I,86,66 cm,86 cm,59 kg,162 cm
Nina Dolci,"Stuttering Nina, Naughty Nina",Unknown,Caucasian,"November 15, 1974",Unknown,D,36D,91,71 cm,106 cm,54 kg,167 cm
Brooke Tyler,Alexa Brooke,Unknown,Caucasian,"February 28, 1969",2011,H,34H,86,63 cm,86 cm,51 kg,172 cm
Flamy Nika,"Flame Nika, Nika Flamy, Juliette Bellamy",Russian,Caucasian,"May 17, 1998",2022,C,32C,81,Unknown,Unknown,51 kg,165 cm
Alexandra Daddario,"Alex Daddario, Alexandra Anna Daddario",American,Caucasian,"March 16, 1986",2002,F,32F,81,60 cm,88 cm,61 kg,172 cm
Shara Jones,"Wendy Moon, Zara Jones, Jana",Unknown,Caucasian,"December 9, 1988",Unknown,B,32B,81,73 cm,76 cm,51 kg,154 cm
Megane Lopez,Unknown,Unknown,Caucasian,"January 1, 1997",2020,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown
Shantel Feya,"Lora, Chantel Feya, Svetik, Mirabell, Sanda Q",Unknown,Caucasian,"October 24, 1988",2009,D,34D,86,60 cm,91 cm,Unknown,172 cm
Annette Schwarz,"Annetta Schwarz, Annette Swartz, Anette, Annette Schwartz",Unknown,Caucasian,"March 26, 1984",2003,C,34C,86,66 cm,101 cm,64 kg,177 cm
Sarah Sultry,Unknown,Ukrainian,Caucasian,"October 12, 1986",2018,C,34C,86,Unknown,Unknown,59 kg,172 cm
Monroe Fox,Unknown,Unknown,Caucasian,"September 1, 1996",2020,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,154 cm
Janyk Brones,Unknown,Unknown,Caucasian,"August 22, 2004",2023,D,34D,86,66 cm,91 cm,60 kg,160 cm
Rose Sarinz,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,150 cm
Alexis Golden,Unknown,Unknown,Caucasian,"June 15, 1969",2005,DDD,36DDD,91,63 cm,88 cm,61 kg,167 cm
Kendall Woods,Kendall Woodz,Unknown,Black,"March 15, 1998",2016,A,34A,86,60 cm,88 cm,54 kg,165 cm
Lolly Ink,Lolly Foxx,Unknown,Caucasian,"April 16, 1983",2012,DDD,34DDD,86,60 cm,88 cm,51 kg,162 cm
Lexi Layo,"Lexy Layo, Alice Peterson, Abigail Ash",Unknown,Caucasian,"May 4, 1993",2017,B,32B,81,60 cm,86 cm,48 kg,162 cm
Ruka Kanae,Unknown,Unknown,Asian,"April 3, 1993",2012,C,33C,83,58 cm,83 cm,Unknown,144 cm
Karly Baker,Neveah Snow,American,Caucasian,"December 7, 1997",2016,A,32A,81,60 cm,86 cm,46 kg,157 cm
Emejota,Unknown,Spanish,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown
Tabitha Stevens,"Kelly M. Garrette, Tabatha Stevens",American,Caucasian,"February 16, 1970",1995,DD,34DD,86,58 cm,86 cm,48 kg,162 cm
Natalie Lust,"Tori Lynn, Tori Gaines",Unknown,Caucasian,"July 12, 1993",2013,B,32B,81,63 cm,81 cm,50 kg,160 cm
Amelia Li,Unknown,Unknown,Asian,Unknown,2022,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown
Bella Angel,Unknown,Unknown,Caucasian,"January 1, 2001",2020,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown
Lottii Rose,"Mia Jane, Delina G, Lottie Rose",Unknown,Caucasian,"August 23, 1993",Unknown,DD,36DD,91,71 cm,88 cm,59 kg,162 cm
Jewels Vega,Unknown,Unknown,Caucasian,Unknown,2016,B,34B,86,60 cm,83 cm,51 kg,165 cm
Empera,"Vladlena, Nicolette A, Jessy C, Lada, Vlada B, Vlada, Jessi Empera",Unknown,Caucasian,"July 4, 1995",2015,A,33A,83,63 cm,86 cm,48 kg,165 cm
Perla Rubia,Unknown,Unknown,Caucasian,"January 1, 1983",2021,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown
Verlonis,AlinaCuteBabe,Unknown,Caucasian,August 2001,Unknown,C,36C,91,63 cm,91 cm,44 kg,160 cm
Brooke Paige,Brook Page,Unknown,Caucasian,"March 7, 1988",2016,DD,36DD,91,Unknown,Unknown,Unknown,167 cm
Keilani Kita,Unknown,Unknown,Asian,"May 31, 1996",2018,B,34B,86,66 cm,91 cm,51 kg,149 cm
Aria Logan,"Arian Logan, Minori",Unknown,Caucasian,"January 8, 1995",2015,A,34A,86,66 cm,93 cm,51 kg,167 cm
Alexis Zara,Unknown,Unknown,Latin,"July 27, 1990",2019,D,34D,86,68 cm,93 cm,51 kg,167 cm
Mila Marie,Unknown,American,Mixed,"March 5, 1997",2023,B,32B,81,60 cm,86 cm,53 kg,157 cm
Barbara Bieber,Barbara Bieder,Unknown,Caucasian,"January 24, 1991",2016,D,34D,86,58 cm,91 cm,59 kg,167 cm
Mia Huffman,Unknown,American,Latin,"March 22, 2002",2021,C,30C,76,50 cm,71 cm,Unknown,154 cm
Kari K,"Ariana Lee, Kari Miller, Carrie C, Miroslava Kaprova, Alanis, Kari Milla, Kari Mila, Kara, Kary, Kari Sweets, Kari Sweet, Katherine",Unknown,Caucasian,"February 5, 1989",2010,B,34B,86,68 cm,91 cm,43 kg,165 cm
Mariana Martinez,Mariana Martix,Unknown,Latin,"January 5, 1997",2018,C,34C,86,Unknown,Unknown,Unknown,160 cm
Ava Nicks,"Anastas Christen, Anastasia Christen, Ava Dawn",Unknown,Caucasian,"March 2, 1990",Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,57 kg,167 cm
Ariel Tylor,"Ellis Baileys, Ilonka Csont, Mellissa ClubSeventeen",Unknown,Caucasian,"July 13, 2000",2019,A,30A,76,60 cm,76 cm,38 kg,172 cm
Charlotte Lapiedra,Unknown,Spanish,Caucasian,"January 1, 2003",Unknown,C,Unknown,Unknown,58 cm,86 cm,62 kg,177 cm
Binky Baez,Binky Beaz,Unknown,Latin,"October 18, 1999",2019,B,32B,81,60 cm,86 cm,44 kg,149 cm
Eden Sinclair,Eden Sin,Unknown,Caucasian,"July 7, 1995",2016,A,32A,81,66 cm,91 cm,51 kg,160 cm
Atlantis Deep,"Blondie Australia, Aussie Atlantis",Unknown,Caucasian,"August 4, 1999",2020,E,34E,86,66 cm,91 cm,Unknown,162 cm
Dania Vega,Unknown,Unknown,Latin,"January 1, 1999",2020,B,32B,81,60 cm,86 cm,43 kg,154 cm
Melissa Grand,"Melissa Benz, Chantal, Melisa Benz",Unknown,Caucasian,"July 28, 1990",2017,AA,38AA,96,58 cm,86 cm,49 kg,162 cm
Lynn Drew,Unknown,Colombian,Latin,"January 1, 2005",2024,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown
Alice Kelly,Unknown,Russian,Caucasian,"May 14, 1995",2020,C,35C,88,63 cm,88 cm,Unknown,162 cm
Lindsey Woods,Unknown,Unknown,Latin,"December 8, 1993",2014,B,34B,86,53 cm,71 cm,48 kg,154 cm
Gia Vendetti,Unknown,Unknown,Latin,"November 19, 1991",2018,B,32B,81,63 cm,88 cm,51 kg,172 cm
Ashton Blake,Unknown,Unknown,Caucasian,"December 31, 1973",2014,DDD,36DDD,91,66 cm,96 cm,56 kg,162 cm
Charlotte Chanel,Unknown,American,Caucasian,"December 13, 1989",2022,Unknown,Unknown,Unknown,Unknown,Unknown,58 kg,170 cm
Veronika J.,"Nicca, Renka, Anita, Annita, Aneta, Erica Lightspeed, Kyra, Anetta V, Vera, Daphne, Aneta J, Veronika, Nicca A",Unknown,Caucasian,"April 22, 1985",2006,A,34A,86,63 cm,88 cm,56 kg,177 cm
Kristy Sea,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown
Devil Khloee,Unknown,Unknown,Latin,"May 11, 1998",2024,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown
Valentina Rossini,"Belly Fontana, Defrancesca Gallardo, Gia L'Orenzo, Defrancesca Valentina, Gia Lorenzo",Unknown,Caucasian,"November 15, 1988",2007,C,38C,96,63 cm,91 cm,54 kg,172 cm
Elena Generi,Unknown,American,Caucasian,"January 1, 1999",2018,B,30B,76,60 cm,81 cm,52 kg,165 cm
Jenny Blighe,Unknown,Unknown,Caucasian,Unknown,Unknown,C,34C,86,66 cm,76 cm,49 kg,170 cm
Satomi Nagase,Unknown,Unknown,Asian,"November 30, 1994",Unknown,E,35E,88,58 cm,86 cm,Unknown,152 cm
Seltin Sweety,Selti Sweet,Russian,Caucasian,"February 6, 2000",2021,Unknown,Unknown,81,55 cm,83 cm,49 kg,167 cm
Anastasia Ocean,Emerald Ocean,Unknown,Caucasian,"May 15, 1989",Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown
Mackenzee Pierce,"Mckenzie Pierce, MacKenzie Pierce, Mckenzee Pierce",Unknown,Caucasian,"March 10, 1988",2007,DD,34DD,86,66 cm,99 cm,59 kg,162 cm
Stefani Marz,Unknown,Unknown,Caucasian,Unknown,2022,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown
Isis Taylor,Classic,Unknown,Latin,"October 23, 1989",2009,Unknown,Unknown,Unknown,Unknown,Unknown,59 kg,172 cm
Mayara Lopes,Mayara Secret,Brazilian,Latin,"March 10, 1987",2023,C,32C,81,81 cm,60 cm,43 kg,152 cm
Adreena Winters,Unknown,Unknown,Caucasian,"January 18, 1988",Unknown,C,32C,81,66 cm,88 cm,53 kg,165 cm
Paige Ashley,"Sophie Kirk, Ashley Page",Unknown,Caucasian,"April 12, 1987",Unknown,DD,32DD,81,63 cm,88 cm,46 kg,157 cm
Bailey Brooks,Your Aubsome,Unknown,Caucasian,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown
Megan Salinas,"Mercedez Pequeno, Megan Montero",American,Latin,"March 2, 1994",2013,D,34D,86,58 cm,86 cm,44 kg,160 cm
Alona Bloom,Unknown,American,Asian,"August 11, 2001",2020,B,32B,81,76 cm,60 cm,54 kg,149 cm
Fernie Warisa,Fernie,Thai,Asian,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,52 kg,160 cm
Lilith Grace,Unknown,American,Caucasian,Unknown,2022,A,32A,81,Unknown,Unknown,52 kg,162 cm
Annasteisa Cherry,Unknown,Russian,Caucasian,Unknown,2023,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown
Alby Daor,Unknown,Unknown,Caucasian,"August 10, 1969",2017,B,34B,86,66 cm,91 cm,48 kg,160 cm
Eva Springs,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown
Keira Heart,Unknown,American,Caucasian,"May 1, 2003",2023,C,32C,81,60 cm,91 cm,49 kg,157 cm
Bella Hunter,"AJ May, Jessica Rose",Unknown,Caucasian,1993,Unknown,D,34D,86,86 cm,91 cm,Unknown,162 cm
London Reigns,London Reinas,Unknown,Black,"November 13, 1990",2011,DD,36DD,91,Unknown,Unknown,54 kg,165 cm
Anastasia Treplev,"Anastasiya Treplev, Treplev, Anastasia Trepleff",Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown
Anita Blanche,"Kriss (spygasm.com), Anita Blanch (putalocura.com)",Unknown,Caucasian,"July 10, 1989",2019,Unknown,Unknown,Unknown,Unknown,Unknown,54 kg,172 cm
Arteya,Arteya Dee,Unknown,Caucasian,"February 17, 1995",2015,C,36C,91,60 cm,88 cm,51 kg,165 cm
Emma Fantasy,Emma Fantazy,Unknown,Caucasian,"July 16, 1992",2017,B,34B,86,68 cm,91 cm,Unknown,Unknown
Cherry Apricots,Cherry Apricot,American,Caucasian,"October 1, 2004",2022,C,34C,86,55 cm,83 cm,49 kg,160 cm
Karina Grand,Lana roberts,Unknown,Caucasian,"November 4, 1990",Unknown,A,34A,86,63 cm,91 cm,59 kg,177 cm
Julie Vee,"Juliya, Juliya C, Vicca, Judy S, Halena, Halena A",Unknown,Caucasian,"January 1, 1989",2012,B,30B,76,58 cm,81 cm,46 kg,160 cm
Kasey Miller,Daisy Lynne,Unknown,Caucasian,"August 12, 1998",2017,C,32C,81,63 cm,91 cm,53 kg,165 cm
Samantha Alexandra,"Tiffany Wendy, Sam Alexandra, Sophie",Unknown,Caucasian,Unknown,2009,D,34D,86,60 cm,81 cm,54 kg,167 cm
Ms Saigon,Ms Sexy Saigon,Unknown,Asian,"January 8, 1967",2024,Unknown,Unknown,Unknown,Unknown,Unknown,48 kg,162 cm
Lucie Sin,"Klara, Andrea 2987, Riddy Red, Violet, Riddy, Lisa",Unknown,Caucasian,"September 2, 1994",Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown
Raven Vice,Unknown,American,Caucasian,Unknown,2013,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown
Jaimie Vine,Unknown,Unknown,Caucasian,"August 14, 1992",2019,B,34B,86,60 cm,91 cm,56 kg,165 cm
Megan Maiden,Unknown,Unknown,Caucasian,"February 7, 1997",2019,D,36D,91,73 cm,101 cm,65 kg,167 cm
Kyouko Maki,"Kyoko Maki, Maki Kyohko",Unknown,Asian,"September 3, 1990",Unknown,DDD,37DDD,93,58 cm,86 cm,Unknown,157 cm
Greta Milos,"Eva Raso, Eva Blonde, Trisha Adams, Mariba Olkins, Eva Galios",Unknown,Caucasian,"December 13, 1977",1997,D,36D,91,58 cm,86 cm,48 kg,162 cm
Nataly Ordoñez,"Naty Ordonez, Nataly Ordonez",Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown
Rikki Six,"Bailey Skye, Rikki Sixx",Unknown,Caucasian,"December 18, 1990",2012,DD,34DD,86,60 cm,83 cm,46 kg,170 cm
Alana Rains,"ATK Alana, Alena Rains, Molly Ray",Unknown,Caucasian,"February 3, 1995",2013,B,34B,86,66 cm,91 cm,59 kg,175 cm
Bella Rico,"Bendita Locura, Bella Rica, Rubi Rico",Spanish,Caucasian,"December 1, 1997",2020,Unknown,Unknown,Unknown,Unknown,Unknown,49 kg,167 cm
Alisa Love,Unknown,Unknown,Caucasian,"January 1, 2003",Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,49 kg,160 cm
Alejandra Rico,Unknown,Colombian,Latin,"July 13, 1999",2022,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,175 cm
Monica Sweetheart,"Monika Sweetheart, Monika Listopadova, Monika RakoczyovÃ¡, Monica Tore, Monica Sweetearth",Unknown,Caucasian,"May 23, 1981",1999,B,34B,86,63 cm,88 cm,48 kg,172 cm
Avery Adair,Unknown,Unknown,Caucasian,"October 31, 1996",2016,A,34A,86,60 cm,86 cm,56 kg,175 cm
Miss Amerika,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown
Gigi Silver,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown
Irina Dyvyn,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown
Cat Bangles,Unknown,American,Latin,"August 17, 1988",2014,DDD,36DDD,91,76 cm,96 cm,72 kg,170 cm
Elle Tan,Unknown,Unknown,Caucasian,"November 29, 1997",2016,Unknown,Unknown,83,55 cm,86 cm,49 kg,172 cm
Madison Parker,"Medison Parker, Barbara Bonita, Isabel, FrÃ¶schl Zsanett, Stefany Honey, Isabel A, Zanett Froschl",Hungarian,Caucasian,"June 21, 1989",2007,A,32A,81,60 cm,91 cm,51 kg,157 cm
Cindy Behr,Unknown,British,Caucasian,"September 9, 1975",Unknown,DDD,34DDD,86,63 cm,83 cm,51 kg,162 cm
Angel Deluca,Unknown,Unknown,Caucasian,"July 21, 1987",2009,Unknown,Unknown,Unknown,Unknown,Unknown,81 kg,165 cm
Anina Silk,"Tina Fox, Natasha Curle",Unknown,Caucasian,"July 1, 1996",2014,AA,34AA,86,58 cm,83 cm,Unknown,154 cm
Heather Honey,Unknown,Unknown,Caucasian,"January 1, 2001",2021,DD,36DD,91,66 cm,96 cm,72 kg,175 cm
Paulina Soul,Unknown,Unknown,Caucasian,"December 21, 1986",2018,C,36C,91,66 cm,101 cm,51 kg,172 cm
Sweet Vickie,Unknown,American,Caucasian,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,165 cm
Megan Coxxx,"Riva Jean Dyer, Alicia Foxx, Megan Cox, Wild Anna, Lola Lyx",Unknown,Caucasian,"September 13, 1989",2010,C,34C,86,76 cm,86 cm,61 kg,177 cm
Johane Johanson,"Danica Devilla, Sasha Swift, Johane Johansson, Joanne Johansson",Unknown,Caucasian,"February 15, 1987",2008,B,34B,86,60 cm,83 cm,48 kg,154 cm
Sindy Vega,"Cindy, Ilona, Lola",Czech,Caucasian,"July 1, 1991",2010,A,32A,81,53 cm,86 cm,49 kg,180 cm
Abby Charles,Unknown,American,Caucasian,1992,Unknown,B,34B,86,76 cm,101 cm,Unknown,Unknown
Mia Thonson,Katiuska,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown
Melody Petite,Bella Rodriquez,Unknown,Latin,Unknown,2011,B,34B,86,55 cm,93 cm,53 kg,154 cm
Ariana Reychers,"Ofelya Rubens, Larisa",Russian,Caucasian,"January 30, 2003",2022,C,38C,96,66 cm,91 cm,52 kg,170 cm
Sia Florence,"Sia Florance, Vichka, Vicinke",Unknown,Caucasian,"April 12, 2000",Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,50 kg,157 cm
Mina Tran,Unknown,American,Asian,"April 17, 2002",2023,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,160 cm
Daniela Ortiz,Unknown,Unknown,Latin,"April 6, 1999",2019,Unknown,Unknown,Unknown,Unknown,Unknown,46 kg,157 cm
Anna Katz,Unknown,Russian,Caucasian,"December 27, 1984",2021,GG,38GG,96,86 cm,106 cm,85 kg,162 cm
Emma Shay,Unknown,Unknown,Caucasian,Unknown,2020,DDD,34DDD,86,73 cm,91 cm,56 kg,149 cm
Mia Ferrari,"Shelley Bliss, Sheylley Bliss, Shelly Bliss",Unknown,Caucasian,"August 15, 1999",2018,B,32B,81,63 cm,86 cm,51 kg,152 cm
Giulia Wylde,Unknown,American,Caucasian,"December 22, 1997",2020,DD,34DD,86,63 cm,81 cm,51 kg,167 cm
Anny Walker,Baby Anny,Unknown,Caucasian,"January 2, 2002",2020,Unknown,Unknown,Unknown,Unknown,Unknown,52 kg,165 cm
Naughty Allie,Allie Chase,American,Caucasian,"February 5, 1977",2003,D,34D,86,60 cm,91 cm,53 kg,167 cm
Axa Jay,"Axa Sawford, Axajay",Unknown,Caucasian,"March 22, 1985",2009,C,34C,86,71 cm,81 cm,Unknown,165 cm
Jenny Doll,Unknown,Unknown,Caucasian,"January 14, 1999",2020,Unknown,Unknown,Unknown,Unknown,Unknown,49 kg,167 cm
Lily Jordan,Unknown,Unknown,Latin,"January 16, 1998",2016,B,32B,81,60 cm,71 cm,51 kg,154 cm
Allesandra Snow,"Alessandra Snow, Alli, Leann Larue, Alasandra Snow",Unknown,Caucasian,"October 1, 1989",2012,E,34E,86,63 cm,86 cm,51 kg,165 cm
Mina Moreno,"Gina Ferocius, Gina Ferocious",Spanish,Latin,"December 19, 1998",2017,C,34C,86,Unknown,Unknown,Unknown,Unknown
Nao Mizuki,"Wakana, Yui Mizukawa",Unknown,Asian,"September 18, 1984",Unknown,DDD,35DDD,88,58 cm,86 cm,Unknown,157 cm
Ashli Orion,"Ashley Orion, Ashlii Orion",American,Caucasian,"June 19, 1987",2006,A,34A,86,68 cm,99 cm,54 kg,162 cm
Megan Moore,Unknown,Unknown,Caucasian,"October 10, 1990",2008,D,28D,71,50 cm,50 cm,54 kg,167 cm
Eva Parcker,Eve Parcker,Unknown,Caucasian,"December 28, 1988",2012,D,35D,88,68 cm,96 cm,56 kg,167 cm
Roxanne Miller,Unknown,Unknown,Caucasian,"May 2, 1991",Unknown,DD,50DD,127,86 cm,101 cm,81 kg,157 cm
Olya Seteykina,"Olga Seteykina, Lucy BB, Olha Seteikina, Montana Minx",British,Caucasian,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown
Aida Sweet,"Zelda, Adia Sweet",Unknown,Caucasian,"February 7, 1994",2012,C,36C,91,60 cm,91 cm,46 kg,162 cm
